GPSID,ResSitesID,Date,StartLatDeg,StartLatDec,StartLonDeg,StartLonDec,EndLatDeg,EndLatDec,EndLonDeg,EndLonDec
1,382,2001-04-05,38,15.531,121,29.618,NA,NA,NA,NA
2,383,2001-04-09,37,59.858,121,21.979,37,59.705,121,21.751
3,384,2001-04-10,37,56.445,121,32.194,37,56.457,121,32.531
4,385,2001-04-11,38,2.809,121,31.672,38,2.874,121,31.514
5,386,2001-04-11,38,5.146,121,32.53,38,5.109,121,32.641
6,387,2001-04-16,38,8.622,121,26.672,38,8.726,121,26.354
7,388,2001-04-12,38,15.806,121,27.668,38,15.783,121,27.725
8,389,2001-04-17,38,3.416,121,47.353,38,3.651,121,47.213
9,390,2001-04-18,38,11.584,121,37.419,38,11.659,121,37.104
10,391,2001-04-19,38,16.441,121,36.139,38,16.688,121,36.022
11,392,2001-04-23,37,55.268,121,33.27,37,55.497,121,33.431
12,393,2001-04-24,38,4.093,121,38.869,38,3.805,121,38.867
13,394,2001-04-25,37,57.215,121,27.115,37,57.054,121,26.861
14,395,2001-04-26,37,54.488,121,30.83,37,54.36,121,30.75
15,415,2001-06-01,38,2.602,121,26.45,38,2.473,121,26.395
16,416,2001-06-04,38,0.42,121,34.832,38,0.152,121,34.822
17,417,2001-06-05,37,56.156,121,33.644,37,55.955,121,33.421
18,418,2001-06-07,38,10.776,121,39.755,38,10.633,121,39.667
19,419,2001-06-08,37,59.664,121,25.552,37,59.559,121,25.909
20,420,2001-06-11,38,5.54,121,29.795,38,5.44,121,30.149
21,421,2001-06-12,38,4.963,121,32.295,38,5.148,121,32.12
22,422,2001-06-14,37,47.307,121,20.725,37,47.133,121,20.488
23,423,2001-06-15,37,49.179,121,30.072,37,49.167,121,30.155
24,424,2001-06-20,38,17.053,121,30.223,38,16.861,121,29.973
25,425,2001-06-22,38,12.926,121,32.413,38,12.726,121,32.171
26,426,2001-06-25,38,12.268,121,26.588,38,12.265,121,26.226
27,427,2001-06-26,38,1.684,121,46.668,38,1.616,121,47.011
28,428,2001-06-27,38,1.591,121,43.04,38,1.479,121,43.04
29,429,2001-06-28,38,8.423,121,27.342,38,8.403,121,27.181
30,430,2001-06-28,38,8.416,121,27.524,38,8.423,121,27.342
31,436,2001-06-29,38,2.972,121,31.974,38,3.247,121,31.942
32,437,2001-05-03,38,5.68,121,35.047,38,5.905,121,35.767
33,438,2001-05-04,38,15.414,121,29.866,38,15.586,121,29.622
34,441,2001-05-07,38,3.07,121,31.394,38,3.224,121,31.298
35,442,2001-05-08,38,4.685,121,38.831,38,4.729,121,38.887
36,443,2001-05-08,38,4.116,121,49.299,38,3.947,121,48.989
37,480,2001-05-09,37,50.727,121,32.246,37,50.946,121,32.469
38,481,2001-05-10,38,4.858,121,26.713,38,5.008,121,26.541
39,482,2001-05-14,37,48.038,121,25.611,37,48.05,121,25.763
40,483,2001-05-15,38,1.211,121,27.934,38,1.001,121,27.691
41,486,2001-05-17,38,15.053,121,30.253,38,15.049,121,30.348
42,487,2001-05-17,38,15.049,121,30.348,38,15.19,121,30.285
43,488,2001-05-21,38,16.184,121,28.36,38,16.153,121,28.707
44,489,2001-05-22,38,16.981,121,38.645,38,16.781,121,38.447
45,490,2001-05-22,38,14.819,121,42.168,38,14.793,121,42.192
46,491,2001-05-22,38,14.793,121,42.263,38,14.811,121,42.192
47,492,2001-05-23,38,3.247,121,37.574,38,3.062,121,37.751
48,493,2001-05-23,37,55.689,121,33.479,37,55.448,121,33.385
49,494,2001-07-02,38,1.726,121,31.273,38,1.476,121,31.421
50,495,2001-07-05,38,4.959,121,38.967,38,4.959,121,38.828
51,496,2001-07-06,38,1.354,121,36.481,38,1.574,121,36.592
52,497,2001-07-09,38,15.366,121,28.585,38,15.156,121,28.772
53,498,2001-07-10,38,17.086,121,35.208,38,17.269,121,34.987
54,499,2001-07-11,37,57.491,121,36.254,37,57.756,121,36.253
55,500,2001-07-12,38,7.948,121,33.855,38,7.715,121,33.663
56,501,2001-07-13,37,58.783,121,19.175,37,58.851,121,19.381
57,502,2001-07-16,38,2.697,121,26.852,38,2.728,121,26.85
58,503,2001-07-16,38,2.668,121,26.99,38,2.574,121,26.93
59,504,2001-07-17,38,5.061,121,25.722,38,5.053,121,26.065
60,505,2001-07-18,37,51.887,121,19.55,37,52.13,121,19.702
61,506,2001-07-23,37,49.149,121,31.3,37,49.157,121,30.952
62,507,2001-07-25,37,55.188,121,35.411,37,55.046,121,35.584
63,508,2001-07-26,38,3.979,121,48.756,38,4.055,121,49.078
64,509,2001-08-01,38,11.787,121,27.781,38,12.012,121,27.603
