ResFishID,Station.Number,Date,Species,Length,Dead,Stomach.Taken
1,422211,1997-01-27,GSF,62,0,0
2,422211,1997-01-27,GSF,64,0,0
3,422211,1997-01-27,GSF,54,0,0
4,422211,1997-01-27,GSF,70,0,0
5,422211,1997-01-27,GSF,129,0,0
6,422221,1997-01-27,BG,141,0,0
7,422221,1997-01-27,BG,109,0,0
8,422221,1997-01-27,BG,96,0,0
9,422221,1997-01-27,BG,87,0,0
10,422221,1997-01-27,BG,140,0,0
11,422221,1997-01-27,BG,78,0,0
12,422221,1997-01-27,BG,100,0,0
13,422221,1997-01-27,BG,51,0,0
14,422221,1997-01-27,BG,115,0,0
15,422221,1997-01-27,BG,37,0,0
16,422221,1997-01-27,BG,81,0,0
17,422221,1997-01-27,BG,87,0,0
18,422221,1997-01-27,BG,135,0,0
19,422221,1997-01-27,BG,123,0,0
20,422221,1997-01-27,BG,86,0,0
21,422221,1997-01-27,BG,73,0,0
22,422221,1997-01-27,BG,124,0,0
23,422221,1997-01-27,BG,90,0,0
24,422221,1997-01-27,BG,53,0,0
25,422221,1997-01-27,BG,135,0,0
26,422221,1997-01-27,BG,96,0,0
27,422221,1997-01-27,BG,98,0,0
28,422221,1997-01-27,BG,74,0,0
29,422221,1997-01-27,BG,55,0,0
30,422211,1997-01-27,BG,131,0,0
31,422211,1997-01-27,BG,74,0,0
32,422211,1997-01-27,BG,85,0,0
33,422211,1997-01-27,BG,81,0,0
34,422211,1997-01-27,BG,89,0,0
35,422211,1997-01-27,BG,55,0,0
36,422211,1997-01-27,BG,62,0,0
37,422211,1997-01-27,BG,58,0,0
38,422211,1997-01-27,BG,49,0,0
39,422211,1997-01-27,BG,83,0,0
40,422211,1997-01-27,BG,76,0,0
41,422211,1997-01-27,BG,77,0,0
42,422211,1997-01-27,BG,64,0,0
43,422211,1997-01-27,BG,35,0,0
44,422211,1997-01-27,BG,54,0,0
45,422211,1997-01-27,BG,65,0,0
46,422211,1997-01-27,BG,79,0,0
47,422211,1997-01-27,BG,55,0,0
48,422211,1997-01-27,BG,114,0,0
49,422211,1997-01-27,BG,91,0,0
50,422211,1997-01-27,BG,94,0,0
51,422211,1997-01-27,BG,54,0,0
52,422211,1997-01-27,BG,91,0,0
53,422211,1997-01-27,BG,56,0,0
54,422211,1997-01-27,BG,94,0,0
55,422211,1997-01-27,BG,47,0,0
56,422211,1997-01-27,BG,33,0,0
57,422211,1997-01-27,BG,36,0,0
58,422211,1997-01-27,BG,47,0,0
59,422211,1997-01-27,BG,48,0,0
60,422211,1997-01-27,BG,65,0,0
61,422211,1997-01-27,BG,61,0,0
62,422211,1997-01-27,BG,41,0,0
63,422211,1997-01-27,BG,51,0,0
64,422211,1997-01-27,BG,53,0,0
65,422211,1997-01-27,BG,183,0,0
66,422211,1997-01-27,BG,62,0,0
67,422211,1997-01-27,BG,51,0,0
68,422211,1997-01-27,BG,46,0,0
69,422211,1997-01-27,BG,86,0,0
70,422211,1997-01-27,BG,82,0,0
71,422211,1997-01-27,BG,80,0,0
72,422211,1997-01-27,BG,60,0,0
73,422211,1997-01-27,BG,74,0,0
74,422211,1997-01-27,BG,47,0,0
75,422211,1997-01-27,BG,93,0,0
76,422211,1997-01-27,BG,55,0,0
77,422211,1997-01-27,BG,56,0,0
78,422211,1997-01-27,BG,36,0,0
79,422211,1997-01-27,BG,51,0,0
80,422211,1997-01-27,LMB,181,0,0
81,422211,1997-01-27,LMB,166,0,0
82,422211,1997-01-27,LMB,99,0,0
83,422211,1997-01-27,LMB,88,0,0
84,422211,1997-01-27,LMB,66,0,0
85,422211,1997-01-27,LMB,139,0,0
86,422211,1997-01-27,LMB,155,0,0
87,422211,1997-01-27,LMB,104,0,0
88,422211,1997-01-27,LMB,66,0,0
89,422211,1997-01-27,LMB,125,0,0
90,422211,1997-01-27,LMB,111,0,0
91,422211,1997-01-27,LMB,315,0,0
92,422211,1997-01-27,LMB,307,0,0
93,422211,1997-01-27,LMB,325,0,0
94,422211,1997-01-27,LMB,265,0,0
95,422211,1997-01-27,LMB,280,0,0
96,422211,1997-01-27,LMB,65,0,0
97,422211,1997-01-27,RSF,190,0,0
98,422211,1997-01-27,RSF,189,0,0
99,422211,1997-01-27,RSF,129,0,0
100,422211,1997-01-27,RSF,125,0,0
101,422211,1997-01-27,RSF,135,0,0
102,422211,1997-01-27,RSF,104,0,0
103,422211,1997-01-27,RSF,184,0,0
104,422211,1997-01-27,RSF,126,0,0
