ResSitesID,Location,Station.Number,Date,Survey.Month,DayNight,BoaterID,NetterID,Tide.Stage,Time.Start,Time.Stop,Temp,Secchi,Conductivity,Turbidity,Channel.Type,Transport,Sample.Area,Start.Flow,Stop.Flow,Channel.Flow,Depth,Number.Snag,Light,Wind.Speed,Veg.Type,Bank.Type,RIPAR.BUSH,RIPAR.TREE,RIPAR.CANE,Volts,Amps,X..of.Range,Pulse.Width,Electrical.Config,Shock.Time,Shock.Distance,Difficulty,Total.Fish.Caught,Total.Species,Comments
2,1099,109931,1997-02-18,2,day,99,18,flood,1999-12-30,1999-12-30,11.6666669845581,47,562,14,4,,1,0.08,NA,NA,7,17,NA,10,3,1,0,0,0,840,5,60,5,1,1670,1000,2,256,11,
3,1029,102952,1997-02-19,2,day,12,99,ebb,1999-12-30,1999-12-30,11.6666669845581,53,100,15,3,,4,2.8,NA,NA,6,20,NA,5,5,2,1,3,0,840,6,60,7,1,1669,1000,3,135,9,
4,2355,235511,1997-02-20,2,day,8,12,ebb,1999-12-30,1999-12-30,10.5555553436279,52,86,16,2,,1,1.15,NA,NA,3,3,NA,20,1,1,0,0,0,1008,5,60,6,1,1496,1000,4,68,5,
5,1091,109144,1997-02-24,2,Day,12,8,ebb,1999-12-30,1999-12-30,8.88888931274414,56,81,16,2,,1,1.03,NA,NA,3,2,NA,15,4,4,0,0,0,1008,4,60,5,1,238,100,4,0,0,
6,1091,109111,1997-02-24,2,day,12,8,ebb,1999-12-30,1999-12-30,8.88888931274414,56,81,16,2,,1,1.03,NA,NA,3,9,NA,20,1,1,0,0,0,1008,4,60,7,1,983,900,4,97,7,
7,4222,422221,1997-01-27,2,day,8,12,ebb,1999-12-30,1999-12-30,13.3333330154419,16,564,41,6,,1,0.03,NA,NA,6,0,NA,5,2,1,0,0,0,168,5,60,5,1,600,550,1,163,9,
8,4222,422211,1997-01-27,2,day,12,8,ebb,1999-12-30,1999-12-30,13.3333330154419,16,564,41,6,,1,0,NA,NA,4,2,NA,5,1,1,0,0,0,336,5,60,5,1,645,450,1,504,12,
9,4262,426244,1997-01-28,2,day,8,12,ebb,1999-12-30,1999-12-30,11.6666669845581,39,432,28,3,,2,0.05,NA,NA,6,0,NA,5,4,4,0,0,0,336,6,60,5,1,1056,800,1,55,6,
10,1222,122261,1997-01-29,2,day,12,4,ebb,1999-12-30,1999-12-30,13.8888893127441,24,168,34,4,,1,0.08,NA,NA,6,1,NA,5,6,1,0,4,0,672,6,60,5,1,1094,500,1,80,13,
11,1222,122211,1997-01-29,2,day,4,8,ebb,1999-12-30,1999-12-30,13.8888893127441,24,168,3.4,3,,1,0.08,NA,NA,6,0,NA,10,1,1,0,0,0,672,5,60,5,1,547,500,2,107,11,
12,3029,302942,1997-01-30,2,day,8,12,ebb,1999-12-30,1999-12-30,10,19,71,85,1,,1,3,NA,NA,4,3,NA,10,4,2,0,0,0,1008,5,60,7,1,1269,900,3,76,13,
13,2237,223751,1997-02-03,2,day,8,12,ebb,1999-12-30,1999-12-30,10,19,87,79,2,,1,3.16,NA,NA,6,6,NA,5,5,1,3,1,0,1008,5,60,7,1,520,800,4,16,5,
14,2237,223711,1997-02-03,2,day,12,8,ebb,1999-12-30,1999-12-30,10,19,87,79,2,,1,3.16,NA,NA,5,0,NA,5,1,1,0,0,0,1008,6,60,7,1,142,100,3,4,3,
15,2237,223713,1997-02-03,2,day,12,8,ebb,1999-12-30,1999-12-30,10,19,87,79,2,,1,3.86,NA,NA,2,0,NA,5,1,3,0,0,0,1008,6,60,7,1,262,100,2,71,3,
16,2037,203752,1997-02-04,2,day,NA,NA,ebb,1999-12-30,1999-12-30,10,18,83,72,1,,1,3.86,NA,NA,7,6,NA,5,5,2,3,1,0,1008,5,60,7,1,1064,1000,4,43,9,
17,1186,118631,1997-02-06,2,day,8,12,low,1999-12-30,1999-12-30,11.6666669845581,59,399,16,3,,1,0,NA,NA,6,2,NA,5,3,1,0,0,0,1008,5,60,6,1,1220,750,1,229,9,
18,1186,118641,1997-02-06,2,day,12,8,flood,1999-12-30,1999-12-30,11.6666669845581,59,399,16,3,,1,0,NA,NA,6,2,NA,5,4,1,0,0,0,1008,6,60,7,1,675,250,1,54,5,
19,4110,411011,1997-02-06,2,day,12,8,high,1999-12-30,1999-12-30,11.6666669845581,38,206,28,3,,1,0.02,NA,NA,6,2,NA,5,1,1,0,0,0,672,6,60,7,1,1282,1000,1,191,8,
20,3070,307011,1997-02-07,2,day,8,12,low,1999-12-30,1999-12-30,11.6666669845581,33,162,36,1,,1,0.87,NA,NA,4,2,NA,5,1,1,0,0,0,1008,5,60,6,1,2036,1000,1,24,10,
21,4092,409264,1997-02-10,2,day,12,8,ebb,1999-12-30,1999-12-30,14.4444446563721,37,199,28,5,,2,0.01,NA,NA,5,1,NA,7,6,4,0,0,0,504,5,60,5,1,2040,1400,3,30,7,
22,3115,311551,1997-02-11,2,day,8,12,ebb,1999-12-30,1999-12-30,11.6666669845581,63,225,17,3,,1,0.2,NA,NA,5,4,NA,15,5,3,1,0,1,672,6,60,5,1,1410,1000,4,154,6,
23,4256,425611,1997-02-13,2,day,12,8,flood,1999-12-30,1999-12-30,13.8888893127441,35,183,27,2,,1,0.13,NA,NA,6,1,NA,20,1,1,0,0,0,504,5,60,5,1,482,400,3,99,5,
24,4256,425641,1997-02-13,2,day,8,12,high,1999-12-30,1999-12-30,13.8888893127441,35,183,27,2,,1,0.13,NA,NA,6,2,NA,20,4,1,0,0,0,504,5,60,5,1,881,600,3,178,6,
25,5226,522651,1997-02-25,2,day,8,12,ebb,1999-12-30,1999-12-30,11.1111106872559,38,162,24,3,,1,1.31,NA,NA,4,6,NA,10,5,1,0,0,4,672,5,60,5,1,2142,1000,2,206,10,
26,5446,544652,1997-03-03,2,day,12,8,ebb,1999-12-30,1999-12-30,11.1111106872559,47,229,23.5,2,,1,2.25,NA,NA,3,20,NA,10,5,2,3,1,0,672,6,60,5,1,1549,1000,3,210,12,
27,5397,539712,1997-03-04,2,day,8,12,ebb,1999-12-30,1999-12-30,11.1111106872559,44,168,21,2,,1,4.89,NA,NA,8,1,NA,15,1,2,0,0,0,672,5,60,5,1,1091,1000,3,8,4,
28,1222,122211,1997-04-01,4,day,12,8,flood,1999-12-30,1999-12-30,15,41,276,19,4,,1,0.42,NA,NA,6,0,NA,30,1,1,0,0,0,504,5,60,5,1,589,500,3,93,12,
29,1091,109161,1997-04-03,4,day,12,8,ebb,1999-12-30,1999-12-30,12.777777671814,94,81,7.7,2,,1,0.31,NA,NA,3,8,NA,20,6,1,0,1,0,1008,5,60,6,1,773,400,3,110,8,
30,1091,109114,1997-04-03,4,day,8,12,high,1999-12-30,1999-12-30,12.777777671814,94,81,7.7,2,,1,0.31,NA,NA,3,13,NA,20,1,4,0,0,0,672,6,60,6,1,891,600,2,79,9,
31,4262,426264,1997-04-04,4,day,12,4,flood,1999-12-30,1999-12-30,14.4444446563721,61,572,13,3,,2,0.03,NA,NA,3,2,NA,17,6,4,0,0,0,504,6,60,4,1,1591,1000,4,131,8,
32,4222,422231,1997-04-07,4,day,8,12,ebb,1999-12-30,1999-12-30,14.4444446563721,46,648,18.5,6,,1,0.25,NA,NA,4,3,NA,5,3,1,0,0,0,168,6,60,5,1,1669,1000,1,215,9,
33,2237,223713,1997-04-08,4,day,8,12,ebb,1999-12-30,1999-12-30,14.4444446563721,68,150,10,1,,1,0.96,NA,NA,2,1,NA,10,1,3,0,0,0,504,5,60,5,1,249,100,1,17,8,
34,2237,223711,1997-04-08,4,day,8,12,ebb,1999-12-30,1999-12-30,14.4444446563721,68,150,10,1,,1,0.9,NA,NA,2,5,NA,10,1,1,0,0,0,504,6,60,5,1,1665,900,1,55,11,
35,2037,203712,1997-04-08,4,day,12,8,ebb,1999-12-30,1999-12-30,14.4444446563721,68,160,13.5,1,,1,1.85,NA,NA,2,5,NA,5,1,2,0,0,0,504,6,60,6,1,1428,1000,1,103,10,
36,4092,409264,1997-04-09,4,day,12,8,ebb,1999-12-30,1999-12-30,14.4444446563721,60,223,13.5,5,,2,0.65,NA,NA,5,0,NA,15,6,4,0,0,0,336,6,60,5,1,1698,1000,2,71,9,
37,1099,109951,1997-04-10,4,day,12,2,high,1999-12-30,1999-12-30,14.4444446563721,37,190,17,4,no,1,0.07,NA,NA,6,24,NA,10,5,1,4,0,0,504,5,60,5,1,2276,1000,2,498,16,
38,3029,302942,1997-04-14,4,day,8,12,high,1999-12-30,1999-12-30,14.4444446563721,66,201,16,1,,1,0.54,NA,NA,2,11,NA,5,4,2,0,0,0,1008,5,60,5,1,2080,1000,1,24,7,
39,4110,411011,1997-04-15,4,day,8,12,low,1999-12-30,1999-12-30,16.1111106872559,99,422,7.5,3,,1,0,NA,NA,3,1,NA,5,1,1,0,0,0,504,5,60,5,1,736,300,1,56,4,
40,4110,411041,1997-04-15,4,day,NA,NA,flood,1999-12-30,1999-12-30,16.1111106872559,99,422,7.5,3,,NA,0.06,NA,NA,3,5,NA,5,4,1,0,0,0,504,6,60,5,1,1620,700,2,121,10,
41,1186,118641,1997-04-15,4,day,12,8,flood,1999-12-30,1999-12-30,17.2222213745117,99,149,9,3,,1,0.04,NA,NA,4,2,NA,5,4,1,0,0,0,504,6,60,5,1,856,300,1,117,7,
42,1186,118611,1997-04-15,4,day,12,8,ebb,1999-12-30,1999-12-30,17.2222213745117,99,149,9,3,,1,0.04,NA,NA,4,3,NA,5,1,1,0,0,0,504,6,60,5,1,1195,700,2,153,9,
43,2355,235511,1997-04-16,4,day,12,8,flood,1999-12-30,1999-12-30,16.6666660308838,70,69,11,2,,1,0.16,NA,NA,3,1,NA,20,1,1,0,0,0,840,6,60,6,1,1345,850,2,114,11,
44,2355,235514,1997-04-16,4,day,12,8,low,1999-12-30,1999-12-30,16.6666660308838,70,69,11,2,,1,0.16,NA,NA,2,1,NA,15,1,4,0,0,0,840,5,60,6,1,299,150,3,24,10,
45,1029,102962,1997-04-17,4,day,8,12,low,1999-12-30,1999-12-30,19.4444446563721,43,169,19,4,,1,0.01,NA,NA,4,50,NA,5,6,2,1,3,0,840,6,60,6,1,2385,1000,2,413,16,
