Location,Station.Number,Date,Species,Number,ResTotalCatchID
4222,422211,1995-02-10,BG,237,1
4222,422211,1995-02-10,CP,3,2
4222,422211,1995-02-10,GMB,1,3
4222,422211,1995-02-10,GSF,2,4
4222,422211,1995-02-10,LMB,31,5
4222,422211,1995-02-10,RSF,7,6
4222,422211,1995-02-10,SB,1,7
4222,422211,1995-02-10,WM,31,8
4222,422241,1995-02-10,BG,19,9
4222,422241,1995-02-10,LMB,2,10
4222,422241,1995-02-10,RSF,1,11
4222,422241,1995-02-10,WM,5,12
1091,109111,1995-02-14,BG,6,13
1091,109111,1995-02-14,GSH,2,14
1091,109111,1995-02-14,LMB,3,15
1091,109111,1995-02-14,RSF,11,16
1091,109111,1995-02-14,STH,7,17
1091,109111,1995-02-14,WM,1,18
1091,109141,1995-02-14,GSH,1,19
1091,109141,1995-02-14,LMB,2,20
1091,109141,1995-02-14,RSF,1,21
1091,109141,1995-02-14,STH,12,22
1099,109911,1995-02-14,BG,93,23
1099,109911,1995-02-14,CP,3,24
1099,109911,1995-02-14,GSH,3,25
1099,109911,1995-02-14,LMB,11,26
1099,109911,1995-02-14,RSF,45,27
1099,109911,1995-02-14,WC,1,28
1099,109911,1995-02-14,WM,13,29
1099,109921,1995-02-14,BB,2,30
1099,109921,1995-02-14,BCR,1,31
1099,109921,1995-02-14,BG,30,32
1099,109921,1995-02-14,GSH,2,33
1099,109921,1995-02-14,LMB,34,34
1099,109921,1995-02-14,RSF,70,35
1099,109921,1995-02-14,WM,3,36
1029,102932,1995-02-15,BCR,1,37
1029,102932,1995-02-15,BG,39,38
1029,102932,1995-02-15,LMB,15,39
1029,102932,1995-02-15,RSF,35,40
1029,102932,1995-02-15,STH,1,41
1029,102932,1995-02-15,WM,2,42
1029,102952,1995-02-15,BG,3,43
1029,102952,1995-02-15,GMB,1,44
1029,102952,1995-02-15,LMB,2,45
1029,102952,1995-02-15,RSF,2,46
2355,235511,1995-02-15,BG,13,47
2355,235511,1995-02-15,KS,1,48
2355,235511,1995-02-15,LMB,15,49
2355,235511,1995-02-15,RSF,2,50
2355,235511,1995-02-15,SQ,1,51
2355,235511,1995-02-15,STH,13,52
2355,235511,1995-02-15,TP,1,53
2355,235511,1995-02-15,WM,1,54
4262,425611,1995-02-16,BG,131,55
4262,425611,1995-02-16,LMB,13,56
4262,425611,1995-02-16,RSF,4,57
4262,425611,1995-02-16,WM,2,58
4262,425641,1995-02-16,BG,73,59
4262,425641,1995-02-16,GSH,3,60
4262,425641,1995-02-16,LMB,10,61
4262,425641,1995-02-16,RSF,7,62
4262,425641,1995-02-16,WM,1,63
4262,426244,1995-02-16,BG,20,64
4262,426244,1995-02-16,GSH,4,65
4262,426244,1995-02-16,LMB,17,66
4262,426244,1995-02-16,RSF,22,67
4262,426244,1995-02-16,WM,3,68
5397,539711,1995-02-21,BG,18,69
5397,539711,1995-02-21,CCF,4,70
5397,539711,1995-02-21,GSF,1,71
5397,539711,1995-02-21,LMB,11,72
5397,539711,1995-02-21,MSS,3,73
5397,539711,1995-02-21,RSF,4,74
